context,answer,question
"Die Energiekrise führte zu vermehrtem Interesse an erneuerbaren Energien, Atomkraft und inländischen fossilen Brennstoffen. Es gibt Kritik daran, dass die amerikanische Energiepolitik seit der Krise von einem Krisendenken dominiert wurde, was zu teuren schnellen und kurzlebigen Lösungen geführt hat, die die Realitäten von Markt und Technologie ignorieren. Anstatt beständige Regeln zu bieten, die grundlegende Forschung unterstützen und gleichzeitig genügend Spielraum für Unternehmertum und Innovation lassen, haben Kongresse und Präsidenten immer wieder eine Politik unterstützt, die politisch sinnvolle Lösungen verspricht, deren Aussichten aber zweifelhaft sind.",Kongresse und Präsidenten,"Wer unterstützte eine Politik, die Lösungen bereitstellt, die gut klingen, aber schlechte Aussichten haben?"
"Manche Käufer beklagten sich über die geringe Größe der ersten japanischen Kleinwagen und sowohl Toyota als auch Nissan (damals bekannt als Datsun) stellten größere Autos wie den Toyota Corona Mark II, den Toyota Cressida, den Mazda 616 und den Datsun 810 vor, die zusätzlichen Fahrgastraum und zusätzliche Ausstattungsmerkmale wie Klimaanlage, Servolenkung, AM-FM-Radio und sogar elektrische Fensterheber und eine Zentralverriegelung aufwiesen, ohne den Fahrzeugpreis anzuheben. Ein Jahrzehnt nach der Ölkrise von 1973 eröffneten Honda, Toyota und Nissan, betroffen von den freiwilligen Ausfuhrbeschränkungen des Jahres 1981, Montagewerke in den USA und schufen ihre Luxussegmente (Acura, Lexus und Infiniti), um sie von ihren Massenmarken abzuheben.",1981,"Wann eröffneten Honda, Toyota und Nissan Montagewerke in den USA?"
"Manche Käufer beklagten sich über die geringe Größe der ersten japanischen Kleinwagen und sowohl Toyota als auch Nissan (damals bekannt als Datsun) stellten größere Autos wie den Toyota Corona Mark II, den Toyota Cressida, den Mazda 616 und den Datsun 810 vor, die zusätzlichen Fahrgastraum und zusätzliche Ausstattungsmerkmale wie Klimaanlage, Servolenkung, AM-FM-Radio und sogar elektrische Fensterheber und eine Zentralverriegelung aufwiesen, ohne den Fahrzeugpreis anzuheben. Ein Jahrzehnt nach der Ölkrise von 1973 eröffneten Honda, Toyota und Nissan, betroffen von den freiwilligen Ausfuhrbeschränkungen des Jahres 1981, Montagewerke in den USA und schufen ihre Luxussegmente (Acura, Lexus und Infiniti), um sie von ihren Massenmarken abzuheben.",Toyota Corona Mark II,"Nennen Sie ein größeres Auto, das Toyota herausbrachte, als Käufer die geringe Größe der Kleinwagen beklagten?"
"Manche Käufer beklagten sich über die geringe Größe der ersten japanischen Kleinwagen und sowohl Toyota als auch Nissan (damals bekannt als Datsun) stellten größere Autos wie den Toyota Corona Mark II, den Toyota Cressida, den Mazda 616 und den Datsun 810 vor, die zusätzlichen Fahrgastraum und zusätzliche Ausstattungsmerkmale wie Klimaanlage, Servolenkung, AM-FM-Radio und sogar elektrische Fensterheber und eine Zentralverriegelung aufwiesen, ohne den Fahrzeugpreis anzuheben. Ein Jahrzehnt nach der Ölkrise von 1973 eröffneten Honda, Toyota und Nissan, betroffen von den freiwilligen Ausfuhrbeschränkungen des Jahres 1981, Montagewerke in den USA und schufen ihre Luxussegmente (Acura, Lexus und Infiniti), um sie von ihren Massenmarken abzuheben.",Klimaanlage,"Nennen Sie ein Ausstattungsmerkmal, das zur Produktion der Kleinwagen hinzugefügt wurde."
"Manche Käufer beklagten sich über die geringe Größe der ersten japanischen Kleinwagen und sowohl Toyota als auch Nissan (damals bekannt als Datsun) stellten größere Autos wie den Toyota Corona Mark II, den Toyota Cressida, den Mazda 616 und den Datsun 810 vor, die zusätzlichen Fahrgastraum und zusätzliche Ausstattungsmerkmale wie Klimaanlage, Servolenkung, AM-FM-Radio und sogar elektrische Fensterheber und eine Zentralverriegelung aufwiesen, ohne den Fahrzeugpreis anzuheben. Ein Jahrzehnt nach der Ölkrise von 1973 eröffneten Honda, Toyota und Nissan, betroffen von den freiwilligen Ausfuhrbeschränkungen des Jahres 1981, Montagewerke in den USA und schufen ihre Luxussegmente (Acura, Lexus und Infiniti), um sie von ihren Massenmarken abzuheben.",Lexus,Nennen Sie ein Luxussegment von Toyota.
"Die Einrichtung einer von seinem technischen Sonderassistenten, Nicholas E. Golovin, angeführten Ad-hoc-Kommission durch Seaman im Juli 1961 zur Empfehlung einer im Apollo-Programm zu verwendenden Trägerrakete, stellte einen Wendepunkt in der Entscheidung der NASA zum Modus der Mission dar. Diese Kommission erkannte, dass der gewählte Modus einen wichtigen Teil der Entscheidung zur Trägerrakete ausmachte und sprach sich für einen hybriden EOR-LOR-Modus aus. Die Erwägung von LOR – sowie Hubolts unablässige Arbeit – spielten eine wichtige Rolle bei der Bekanntmachung der Praktikabilität dieses Modus. Ende 1961 und Anfang 1962 begannen Mitglieder des Manned Spacecraft Center (Zentrum für bemannte Raumfahrt), einzulenken und LOR zu unterstützen, darunter der neu eingestellte stellvertretende Direktor des Office of Manned Space Flight (Amt für bemannte Raumfahrt), Joseph Shea, der ein Verfechter von LOR wurde. Die Ingenieure am Marshall Space Flight Center (MSFC) brauchten länger, um sich von den Vorteilen zu überzeugen, aber ihr Nachgeben wurde von Wernher von Braun bei einer Besprechung im Juni 1962 verkündet.",Nicholas E. Golovin,Wer führte die von Seaman eingerichtete Kommission?
"Die Einrichtung einer von seinem technischen Sonderassistenten, Nicholas E. Golovin, angeführten Ad-hoc-Kommission durch Seaman im Juli 1961 zur Empfehlung einer im Apollo-Programm zu verwendenden Trägerrakete, stellte einen Wendepunkt in der Entscheidung der NASA zum Modus der Mission dar. Diese Kommission erkannte, dass der gewählte Modus einen wichtigen Teil der Entscheidung zur Trägerrakete ausmachte und sprach sich für einen hybriden EOR-LOR-Modus aus. Die Erwägung von LOR – sowie Hubolts unablässige Arbeit – spielten eine wichtige Rolle bei der Bekanntmachung der Praktikabilität dieses Modus. Ende 1961 und Anfang 1962 begannen Mitglieder des Manned Spacecraft Center (Zentrum für bemannte Raumfahrt), einzulenken und LOR zu unterstützen, darunter der neu eingestellte stellvertretende Direktor des Office of Manned Space Flight (Amt für bemannte Raumfahrt), Joseph Shea, der ein Verfechter von LOR wurde. Die Ingenieure am Marshall Space Flight Center (MSFC) brauchten länger, um sich von den Vorteilen zu überzeugen, aber ihr Nachgeben wurde von Wernher von Braun bei einer Besprechung im Juni 1962 verkündet.",Juli 1961,Wann wurde diese Kommission von Seaman eingerichtet?
"Die Einrichtung einer von seinem technischen Sonderassistenten, Nicholas E. Golovin, angeführten Ad-hoc-Kommission durch Seaman im Juli 1961 zur Empfehlung einer im Apollo-Programm zu verwendenden Trägerrakete, stellte einen Wendepunkt in der Entscheidung der NASA zum Modus der Mission dar. Diese Kommission erkannte, dass der gewählte Modus einen wichtigen Teil der Entscheidung zur Trägerrakete ausmachte und sprach sich für einen hybriden EOR-LOR-Modus aus. Die Erwägung von LOR – sowie Hubolts unablässige Arbeit – spielten eine wichtige Rolle bei der Bekanntmachung der Praktikabilität dieses Modus. Ende 1961 und Anfang 1962 begannen Mitglieder des Manned Spacecraft Center (Zentrum für bemannte Raumfahrt), einzulenken und LOR zu unterstützen, darunter der neu eingestellte stellvertretende Direktor des Office of Manned Space Flight (Amt für bemannte Raumfahrt), Joseph Shea, der ein Verfechter von LOR wurde. Die Ingenieure am Marshall Space Flight Center (MSFC) brauchten länger, um sich von den Vorteilen zu überzeugen, aber ihr Nachgeben wurde von Wernher von Braun bei einer Besprechung im Juni 1962 verkündet.",Manned Spacecraft Center,Welche NASA-Gruppierung lenkte zuerst ein und unterstützte LOR?
"Die Einrichtung einer von seinem technischen Sonderassistenten, Nicholas E. Golovin, angeführten Ad-hoc-Kommission durch Seaman im Juli 1961 zur Empfehlung einer im Apollo-Programm zu verwendenden Trägerrakete, stellte einen Wendepunkt in der Entscheidung der NASA zum Modus der Mission dar. Diese Kommission erkannte, dass der gewählte Modus einen wichtigen Teil der Entscheidung zur Trägerrakete ausmachte und sprach sich für einen hybriden EOR-LOR-Modus aus. Die Erwägung von LOR – sowie Hubolts unablässige Arbeit – spielten eine wichtige Rolle bei der Bekanntmachung der Praktikabilität dieses Modus. Ende 1961 und Anfang 1962 begannen Mitglieder des Manned Spacecraft Center (Zentrum für bemannte Raumfahrt), einzulenken und LOR zu unterstützen, darunter der neu eingestellte stellvertretende Direktor des Office of Manned Space Flight (Amt für bemannte Raumfahrt), Joseph Shea, der ein Verfechter von LOR wurde. Die Ingenieure am Marshall Space Flight Center (MSFC) brauchten länger, um sich von den Vorteilen zu überzeugen, aber ihr Nachgeben wurde von Wernher von Braun bei einer Besprechung im Juni 1962 verkündet.",Joseph Shea,Wer wurde als stellvertretender Direktor des Office of Manned Space Flight eingestellt?
"Die Einrichtung einer von seinem technischen Sonderassistenten, Nicholas E. Golovin, angeführten Ad-hoc-Kommission durch Seaman im Juli 1961 zur Empfehlung einer im Apollo-Programm zu verwendenden Trägerrakete, stellte einen Wendepunkt in der Entscheidung der NASA zum Modus der Mission dar. Diese Kommission erkannte, dass der gewählte Modus einen wichtigen Teil der Entscheidung zur Trägerrakete ausmachte und sprach sich für einen hybriden EOR-LOR-Modus aus. Die Erwägung von LOR – sowie Hubolts unablässige Arbeit – spielten eine wichtige Rolle bei der Bekanntmachung der Praktikabilität dieses Modus. Ende 1961 und Anfang 1962 begannen Mitglieder des Manned Spacecraft Center (Zentrum für bemannte Raumfahrt), einzulenken und LOR zu unterstützen, darunter der neu eingestellte stellvertretende Direktor des Office of Manned Space Flight (Amt für bemannte Raumfahrt), Joseph Shea, der ein Verfechter von LOR wurde. Die Ingenieure am Marshall Space Flight Center (MSFC) brauchten länger, um sich von den Vorteilen zu überzeugen, aber ihr Nachgeben wurde von Wernher von Braun bei einer Besprechung im Juni 1962 verkündet.",Marshall Space Flight Center,Welcher NASA-Standort lenkte als letzter ein und unterstützte LOR?
"Nach dem unbemannten LM-Testflug AS-206 würde eine Besatzung den ersten Block II CDM und LM in einer als AS-207/208 oder AS-278 bekannten Doppelmission fliegen (jedes Raumfahrzeug würde mit einer eigenen Saturn IB gestartet werden). Die Ränge der Besatzung des Block II wurden bezeichnet als Commander (CDR, Kommandant), Command Module Pilot (CMP, Kommandokapsel-Pilot) und Lunar Module Pilot (LMP, Mondlandefähre-Pilot). Die Astronauten würden einen neuen Apollo-Raumanzug tragen, der dazu designt wurde, Außenbordaktivitäten auf dem Mond zu ermöglichen. Der traditionelle Visierhelm wurde zur Verbesserung der Sicht durch einen durchsichtigen „Fischglas“-artigen ersetzt und der Anzug für Außenbordaktivitäten auf der Mondoberfläche würde einen Unterwäsche mit Wasserkühlung enthalten.",unbemannten,Wie viele Menschen nahmen am Testflug von AS-206 teil?
"Nach dem unbemannten LM-Testflug AS-206 würde eine Besatzung den ersten Block II CDM und LM in einer als AS-207/208 oder AS-278 bekannten Doppelmission fliegen (jedes Raumfahrzeug würde mit einer eigenen Saturn IB gestartet werden). Die Ränge der Besatzung des Block II wurden bezeichnet als Commander (CDR, Kommandant), Command Module Pilot (CMP, Kommandokapsel-Pilot) und Lunar Module Pilot (LMP, Mondlandefähre-Pilot). Die Astronauten würden einen neuen Apollo-Raumanzug tragen, der dazu designt wurde, Außenbordaktivitäten auf dem Mond zu ermöglichen. Der traditionelle Visierhelm wurde zur Verbesserung der Sicht durch einen durchsichtigen „Fischglas“-artigen ersetzt und der Anzug für Außenbordaktivitäten auf der Mondoberfläche würde einen Unterwäsche mit Wasserkühlung enthalten.",neuen Apollo-Raumanzug,Was trugen die Astronauten auf der Doppelmission AS-278?
"Nach dem unbemannten LM-Testflug AS-206 würde eine Besatzung den ersten Block II CDM und LM in einer als AS-207/208 oder AS-278 bekannten Doppelmission fliegen (jedes Raumfahrzeug würde mit einer eigenen Saturn IB gestartet werden). Die Ränge der Besatzung des Block II wurden bezeichnet als Commander (CDR, Kommandant), Command Module Pilot (CMP, Kommandokapsel-Pilot) und Lunar Module Pilot (LMP, Mondlandefähre-Pilot). Die Astronauten würden einen neuen Apollo-Raumanzug tragen, der dazu designt wurde, Außenbordaktivitäten auf dem Mond zu ermöglichen. Der traditionelle Visierhelm wurde zur Verbesserung der Sicht durch einen durchsichtigen „Fischglas“-artigen ersetzt und der Anzug für Außenbordaktivitäten auf der Mondoberfläche würde einen Unterwäsche mit Wasserkühlung enthalten.",Visierhelm,Was befand sich vor dem „Fischglas“-artigen Helm ursprünglich auf den Raumanzügen?
"Nach dem unbemannten LM-Testflug AS-206 würde eine Besatzung den ersten Block II CDM und LM in einer als AS-207/208 oder AS-278 bekannten Doppelmission fliegen (jedes Raumfahrzeug würde mit einer eigenen Saturn IB gestartet werden). Die Ränge der Besatzung des Block II wurden bezeichnet als Commander (CDR, Kommandant), Command Module Pilot (CMP, Kommandokapsel-Pilot) und Lunar Module Pilot (LMP, Mondlandefähre-Pilot). Die Astronauten würden einen neuen Apollo-Raumanzug tragen, der dazu designt wurde, Außenbordaktivitäten auf dem Mond zu ermöglichen. Der traditionelle Visierhelm wurde zur Verbesserung der Sicht durch einen durchsichtigen „Fischglas“-artigen ersetzt und der Anzug für Außenbordaktivitäten auf der Mondoberfläche würde einen Unterwäsche mit Wasserkühlung enthalten.",Unterwäsche mit Wasserkühlung,"Welche Art Unterwäsche, wenn überhaupt vorhanden, wurde in den Apollo-Raumanzug integriert?"
"Nach dem unbemannten LM-Testflug AS-206 würde eine Besatzung den ersten Block II CDM und LM in einer als AS-207/208 oder AS-278 bekannten Doppelmission fliegen (jedes Raumfahrzeug würde mit einer eigenen Saturn IB gestartet werden). Die Ränge der Besatzung des Block II wurden bezeichnet als Commander (CDR, Kommandant), Command Module Pilot (CMP, Kommandokapsel-Pilot) und Lunar Module Pilot (LMP, Mondlandefähre-Pilot). Die Astronauten würden einen neuen Apollo-Raumanzug tragen, der dazu designt wurde, Außenbordaktivitäten auf dem Mond zu ermöglichen. Der traditionelle Visierhelm wurde zur Verbesserung der Sicht durch einen durchsichtigen „Fischglas“-artigen ersetzt und der Anzug für Außenbordaktivitäten auf der Mondoberfläche würde einen Unterwäsche mit Wasserkühlung enthalten.",Lunar Module Pilot,Wofür stand die Abkürzung LMP bezüglich der Funktionen des Block II?
"Grissom, White und Chaffee entschlossen sich, ihren Flug als Motivationsschwerpunkt auf dem ersten bemannten Flug „Apollo 1“ zu nennen. Sie trainierten und führten Tests an ihrem Raumfahrzeug bei North American und in der Höhenkammer am Kennedy Space Center durch. Ein Bodentest ohne Außenstromversorgung, bei dem ein Start-Countdown auf LC-34 mit einer Umstellung der Energiequelle von der Startrampe auf internen Strom simuliert wurde, war für Januar geplant. Im Falle eines Erfolgs würde darauf ein gründlicherer, näher am Startdatum des 21. Februar gelegener Countdown-Simulationstest folgen, bei dem sowohl Raumfahrzeug als auch Trägerrakete betankt sein würden.",Höhenkammer,Wo am Kennedy Space Center führte die Besatzung von Apollo 1 Tests durch?
"Grissom, White und Chaffee entschlossen sich, ihren Flug als Motivationsschwerpunkt auf dem ersten bemannten Flug „Apollo 1“ zu nennen. Sie trainierten und führten Tests an ihrem Raumfahrzeug bei North American und in der Höhenkammer am Kennedy Space Center durch. Ein Bodentest ohne Außenstromversorgung, bei dem ein Start-Countdown auf LC-34 mit einer Umstellung der Energiequelle von der Startrampe auf internen Strom simuliert wurde, war für Januar geplant. Im Falle eines Erfolgs würde darauf ein gründlicherer, näher am Startdatum des 21. Februar gelegener Countdown-Simulationstest folgen, bei dem sowohl Raumfahrzeug als auch Trägerrakete betankt sein würden.","Grissom, White und Chaffee","Aus wem bestand die Hauptbesatzung von Apollo 1, die sich selbst einen Namen gab?"
